"","country","year","risk_factor","totalcase"
"226","Cameroon",2019,"all",230800
"227","Canada",2019,"all",10461
"228","Cayman Islands",2019,"all",19
"229","Central African Republic",2019,"all",127710
"230","Chad",2019,"all",113810
"231","Chile",2019,"all",16684
"232","China",2019,"all",4165500
"233","China, Hong Kong SAR",2019,"all",23240
"234","China, Macao SAR",2019,"all",2090
"235","Colombia",2019,"all",89060
"236","Comoros",2019,"all",1489
"237","Congo",2019,"all",101000
"238","Cook Islands",2019,"all",10
"239","Costa Rica",2019,"all",2543
"240","Côte d'Ivoire",2019,"all",176980
"241","Croatia",2019,"all",1645
"242","Cuba",2019,"all",3643
"243","Curaçao",2019,"all",58
"244","Cyprus",2019,"all",315
"245","Czechia",2019,"all",2624
"246","Democratic People's Republic of Korea",2019,"all",658500
"247","Democratic Republic of the Congo",2019,"all",1387600
"248","Denmark",2019,"all",1452
"249","Djibouti",2019,"all",11458
"250","Dominica",2019,"all",58
"251","Dominican Republic",2019,"all",22507
"252","Ecuador",2019,"all",39698
"253","Egypt",2019,"all",58720
"254","El Salvador",2019,"all",18816
"255","Equatorial Guinea",2019,"all",12248
"256","Eritrea",2019,"all",15092
"257","Estonia",2019,"all",848
"258","Eswatini",2019,"all",20860
"259","Ethiopia",2019,"all",784500
"260","Fiji",2019,"all",2955
"261","Finland",2019,"all",1295
"262","France",2019,"all",28273
"263","French Polynesia",2019,"all",278
"264","Gabon",2019,"all",56270
"265","Gambia",2019,"all",18498
"266","Georgia",2019,"all",14907
"267","Germany",2019,"all",24470
"268","Ghana",2019,"all",217500
"269","Greece",2019,"all",2252
"270","Greenland",2019,"all",361
"271","Grenada",2019,"all",15
"272","Guam",2019,"all",456
"273","Guatemala",2019,"all",23130
"274","Guinea",2019,"all",111430
"275","Guinea-Bissau",2019,"all",34780
"276","Guyana",2019,"all",3097
"277","Haiti",2019,"all",96150
"278","Honduras",2019,"all",15090
"279","Hungary",2019,"all",3042
"280","Iceland",2019,"all",74
"281","India",2019,"all",13182000
"282","Indonesia",2019,"all",4226000
"283","Iran (Islamic Republic of)",2019,"all",53560
"284","Iraq",2019,"all",80490
"285","Ireland",2019,"all",1419
"286","Israel",2019,"all",1242
"287","Italy",2019,"all",21481
"288","Jamaica",2019,"all",469
"289","Japan",2019,"all",83952
"290","Jordan",2019,"all",2776
"291","Kazakhstan",2019,"all",63538
"292","Kenya",2019,"all",702100
"293","Kiribati",2019,"all",2548
"294","Kuwait",2019,"all",4558
"295","Kyrgyzstan",2019,"all",35357
